Created - 11:51:26.295397: Large marble: Apollo, marbles: Maximum Violet, Dark Fuchsia, Pastel Gray, Eerie Black, Sheen Green, Maximum Violet, Indigo
Created - 11:51:26.380824: Large marble: Big Joe, marbles: Mimi Pink, Cotton Candy, Cotton Candy, Royal Blue, Candy Pink, Mimi Pink, Mint Cream
Created - 11:51:26.468803: Large marble: Big Joe, marbles: Dark Fuchsia, Venetian Red, Dark Moss Green, Dark Fuchsia, Chinese Red, Arylide Yellow, Sage
Created - 11:51:26.553838: Large marble: Hercules, marbles: Sage, Mimi Pink, Spanish Pink, Light Orange, Cobalt Blue, Antique Bronze, Lemon Lime
Created - 11:51:26.638730: Large marble: Spinner, marbles: Orange Peel, Blue-Green, White Smoke, Almond, Antique Bronze, Pastel Gray, Zomp
Created - 11:51:26.726886: Large marble: Big Joe, marbles: Lilac Luster, Platinum, Pale Goldenrod, Arylide Yellow, Candy Pink, Orange Soda, Terra Cotta
Created - 11:51:26.812741: Large marble: Hercules, marbles: Mode Beige, Thulian Pink, Russian Green, Eerie Black, Silver Chalice, Antique Brass, Rose Dust
Created - 11:51:26.900423: Large marble: Zeus, marbles: Bistre Brown, La Salle Green, Pale Goldenrod, Middle Green Yellow, Almond, Granny Smith Apple, Honeydew
Created - 11:51:26.987045: Large marble: 5-Star, marbles: Dark Fuchsia, Mint Green, Mode Beige, Orange Soda, Blue Bell, Cobalt Blue, Mango Tango
Created - 11:51:27.067806: Large marble: Lucky, marbles: Pale Cerulean, Spanish Carmine, Antique Brass, Dark Moss Green, Candy Pink, Gold, Orange Peel
Created - 11:51:27.151667: Large marble: 5-Star, marbles: La Salle Green, Cotton Candy, Pale Taupe, Chinese Red, Blue Bell, Lilac Luster, Spanish Carmine
Created - 11:51:27.235787: Large marble: Winner, marbles: Mimi Pink, Spanish Orange, Emerald, Neon Silver, Orange Peel, Middle Red Purple, Royal Red
Created - 11:51:27.321866: Large marble: Hercules, marbles: Mimi Pink, Royal Red, Honeydew, Lilac Luster, Venetian Red, Tuscan Brown, Sheen Green
Created - 11:51:27.405022: Large marble: Zeus, marbles: Cotton Candy, Blue, Blue-Green, Brink Pink, Granny Smith Apple, Mint Cream, Black Coral
Created - 11:51:27.487882: Large marble: Big Joe, marbles: Spanish Carmine, Orange Soda, Antique Bronze, Slate Blue, Pale Taupe, Icterine, Spanish Orange
Created - 11:51:27.571213: Large marble: Hercules, marbles: Pale Plum, Purple, Lavender Blue, Light Orange, Lilac Luster, Royal Red, Royal Blue
Created - 11:51:27.658997: Large marble: Hercules, marbles: Lilac Luster, Stop Red, Eerie Black, Purple, Lumber, Lilac Luster, Mango Tango
Created - 11:51:27.746568: Large marble: Apollo, marbles: Mint Green, Isabelline, Neon Silver, Sheen Green, Maximum Blue, Lavender Purple, Fiery Rose
Created - 11:51:27.833876: Large marble: Winner, marbles: Mint Cream, Liver Chestnut, Black Coral, Middle Green Yellow, Dark Moss Green, Honeydew, Eerie Black
Created - 11:51:27.920485: Large marble: Sure Shot, marbles: Slate Blue, Sage, Royal Red, Spanish Orange, Royal Red, Neon Pink, Mulberry
Created - 11:51:28.008346: Large marble: Zeus, marbles: Lemon Lime, Cobalt Blue, Spanish Orange, Pastel Blue, Russian Green, Middle Green, Maximum Blue
Created - 11:51:28.092733: Large marble: Spinner, marbles: Icterine, Lavender Purple, Orange Soda, Mimi Pink, Venetian Red, Green, Eerie Black
Created - 11:51:28.180851: Large marble: 5-Star, marbles: Platinum, Auburn, Brink Pink, Vegas Gold, Neon Dark Green, Neon Silver, Pale Plum
Created - 11:51:28.268995: Large marble: Winner, marbles: Indigo, La Salle Green, Ivory, Fiery Rose, Purple Plum, Brink Pink, Rose Dust
Created - 11:51:28.357509: Large marble: Spinner, marbles: Sheen Green, Cotton Candy, Tuscan Brown, Mimi Pink, Antique Bronze, Middle Green, Spanish Orange
Created - 11:51:28.446085: Large marble: Hercules, marbles: Icterine, Mint Green, Safety Yellow, Auburn, Rose Dust, Auburn, Maximum Blue
Created - 11:51:28.530201: Large marble: Zeus, marbles: Pale Taupe, Honeydew, Antique Brass, Pale Plum, Pale Cerulean, Black Coral, Auburn
Created - 11:51:28.618292: Large marble: Hercules, marbles: Slate Blue, Rose Dust, Shandy, Pastel Gray, Granny Smith Apple, Spanish Pink, Ivory
Created - 11:51:28.706140: Large marble: 5-Star, marbles: Big Dip O’ruby, Blue, Spanish Orange, Ruby, Thulian Pink, Middle Green Yellow, Safety Yellow
Created - 11:51:28.791429: Large marble: Apollo, marbles: Shandy, Royal Blue, Stop Red, Rose Dust, Eerie Black, Orange Peel, Pastel Blue
Created - 11:51:28.877148: Large marble: Zeus, marbles: Outrageous Orange, Venetian Red, Slate Blue, Fiery Rose, Mimi Pink, Blue Bell, Platinum
Created - 11:51:28.959905: Large marble: Spinner, marbles: Mango Tango, Lavender Purple, Lavender Blue, Black Coral, Lavender Blue, Light Orange, Icterine
Created - 11:51:29.047920: Large marble: Spinner, marbles: Lemon Lime, Arylide Yellow, Brink Pink, Mint Cream, Emerald, Isabelline, Beaver
Created - 11:51:29.134312: Large marble: Zeus, marbles: Brink Pink, Granny Smith Apple, Rose Dust, Middle Green, Pale Goldenrod, Light Orange, Auburn
Created - 11:51:29.220360: Large marble: Sure Shot, marbles: Shandy, Light Orange, Honeydew, Sheen Green, Pale Cerulean, Silver Chalice, Blue Bell
Created - 11:51:29.304805: Large marble: Hercules, marbles: Ivory, Ivory, Emerald, Gold, Middle Green Yellow, Orange Soda, Big Dip O’ruby
Created - 11:51:29.391558: Large marble: Spinner, marbles: Vegas Gold, Neon Dark Green, Golden Yellow, Gold, Mimi Pink, Chinese Red, Royal Orange
Created - 11:51:29.476977: Large marble: Lucky, marbles: Tuscan Brown, Brink Pink, Spanish Pink, Thulian Pink, Blue Bell, Duke Blue, Mimi Pink
Created - 11:51:29.564205: Large marble: Zeus, marbles: Orange Peel, Silver Chalice, Light Orchid, Maximum Violet, White Smoke, Golden Yellow, Blue-Green
Created - 11:51:29.649922: Large marble: Apollo, marbles: Royal Red, Lilac Luster, Brown, Vegas Gold, Middle Green Yellow, Safety Yellow, Black Coral
Created - 11:51:29.736231: Large marble: Spinner, marbles: Vegas Gold, Purple, Indigo, Mango Tango, Middle Green, Russian Violet, Maximum Purple
Created - 11:51:29.820556: Large marble: Sure Shot, marbles: Eerie Black, Cobalt Blue, Lemon Lime, Safety Yellow, Light Orange, Maximum Blue, Arylide Yellow
Created - 11:51:29.909209: Large marble: Sure Shot, marbles: Safety Yellow, Thulian Pink, Vegas Gold, White Smoke, Ruby, Spanish Carmine, Lumber
Created - 11:51:29.989829: Large marble: Apollo, marbles: Sage, Royal Orange, Honeydew, Pale Plum, Candy Pink, Light Orchid, Ivory
Created - 11:51:30.073879: Large marble: Sure Shot, marbles: Arylide Yellow, Venetian Red, Dark Moss Green, Sheen Green, Blue, Sheen Green, Liver Chestnut
Created - 11:51:30.160962: Large marble: Winner, marbles: Mulberry, Blue Bell, Royal Blue, Orange Peel, Blue Bell, Russian Green, Stop Red
Created - 11:51:30.246059: Large marble: 5-Star, marbles: Emerald, Shandy, Ruby, Middle Red Purple, Middle Red Purple, Pastel Gray, Middle Red Purple
Created - 11:51:30.331361: Large marble: Big Joe, marbles: Rose Dust, Mint Cream, Eerie Black, Beaver, Russian Green, Mint Green, Mint Green
Created - 11:51:30.418459: Large marble: Spinner, marbles: Antique Brass, Pale Plum, Brink Pink, Russian Green, Light Orange, Mode Beige, Neon Pink
Created - 11:51:30.502448: Large marble: Lucky, marbles: White Smoke, Lemon Lime, Shandy, Duke Blue, Duke Blue, Neon Silver, Pale Cerulean
Created - 11:51:30.587207: Large marble: Zeus, marbles: Terra Cotta, Blue-Green, Pastel Blue, Beaver, Beaver, Shandy, White Smoke
Created - 11:51:30.672221: Large marble: Winner, marbles: Royal Blue, Antique Brass, Ruby, Emerald, Black Coral, Silver Chalice, Thulian Pink
Created - 11:51:30.760093: Large marble: 5-Star, marbles: Purple Plum, Silver Pink, Blue Bell, Safety Yellow, Beaver, Brown, Ruby
Created - 11:51:30.847959: Large marble: Lucky, marbles: Purple, Bistre Brown, Pale Taupe, Blue Bell, Neon Silver, Blue Bell, Auburn
Created - 11:51:30.934263: Large marble: Lucky, marbles: Neon Silver, Green, Russian Green, Mango Tango, White Smoke, Chinese Red, Russian Green
Created - 11:51:31.020089: Large marble: Winner, marbles: Emerald, Silver Chalice, Black Coral, Eerie Black, Pale Cerulean, Purple, Middle Green Yellow
Created - 11:51:31.108340: Large marble: Hercules, marbles: Outrageous Orange, Ruby, Royal Red, Outrageous Orange, Spanish Orange, Orange Peel, Spanish Orange
Created - 11:51:31.193208: Large marble: Spinner, marbles: Duke Blue, Maximum Violet, Maximum Violet, Platinum, Liver Chestnut, Royal Blue, Neon Pink
Created - 11:51:31.281069: Large marble: Spinner, marbles: Black Coral, White Smoke, Blue-Green, Dark Moss Green, Russian Violet, Orange Peel, Thulian Pink
Created - 11:51:31.369036: Large marble: Winner, marbles: Mango Tango, Granny Smith Apple, Sheen Green, Brown, Gold, Antique Brass, Venetian Red
Created - 11:51:31.456315: Large marble: 5-Star, marbles: Zomp, Maximum Purple, Maximum Blue, Middle Green Yellow, Green, Black Coral, Ivory
Created - 11:51:31.544203: Large marble: Zeus, marbles: Mimi Pink, Neon Silver, Bistre Brown, Auburn, Sheen Green, Auburn, Brink Pink
Created - 11:51:31.629303: Large marble: Lucky, marbles: Pale Goldenrod, Neon Silver, Black Coral, Ivory, Middle Green, Ivory, Purple
Created - 11:51:31.713120: Large marble: 5-Star, marbles: Gold, Lavender Purple, Zomp, Lavender Blue, Candy Pink, Blue-Green, Pale Plum
Created - 11:51:31.797805: Large marble: Lucky, marbles: Russian Violet, Orange Peel, Orange Peel, Liver Chestnut, Liver Chestnut, Antique Bronze, Maximum Blue
Created - 11:51:31.885548: Large marble: Spinner, marbles: Lavender Purple, Orange Soda, Platinum, Orange Soda, Gold, White Smoke, Purple
Created - 11:51:31.971991: Large marble: Zeus, marbles: Maximum Blue, Brink Pink, Honeydew, Duke Blue, Icterine, Neon Pink, Mint Cream
Created - 11:51:32.059849: Large marble: Spinner, marbles: Pale Plum, Tuscan Brown, Orange Soda, Zomp, Neon Pink, Maximum Purple, Venetian Red
Created - 11:51:32.146869: Large marble: Apollo, marbles: Royal Red, Spanish Carmine, Auburn, Safety Yellow, Lavender Blue, Sheen Green, Orange Soda
Created - 11:51:32.232997: Large marble: Winner, marbles: Neon Pink, Neon Silver, Chinese Red, Royal Orange, La Salle Green, Golden Yellow, Stop Red
Created - 11:51:32.320866: Large marble: Hercules, marbles: Maximum Purple, Pale Taupe, Auburn, Silver Pink, Neon Silver, Spanish Pink, Almond
Created - 11:51:32.407405: Large marble: Apollo, marbles: Royal Red, Slate Blue, Blue Bell, Rose Quartz, Thulian Pink, Platinum, Pale Plum
Created - 11:51:32.494544: Large marble: Spinner, marbles: Stop Red, Lumber, Pastel Blue, Middle Red Purple, Lumber, Orange Soda, Candy Pink
Created - 11:51:32.581255: Large marble: Lucky, marbles: Blue-Green, Purple, Candy Pink, Liver Chestnut, Stop Red, Blue, Royal Red
